Date;Price
2010-01;20803
2010-02;21800
2010-03;26287
2010-04;24422
2010-05;21050
2010-06;26034
2010-07;27757
2010-08;22655
2010-09;18423
2010-10;25347
2010-11;22642
2010-12;23769
2011-01;27620
2011-02;25563
2011-03;32311
2011-04;21146
2011-05;19564
2011-06;26191
2011-07;30188
2011-08;25267
2011-09;30728
2011-10;31191
2011-11;15265
2011-12;26102
2012-01;29189
2012-02;33594
2012-03;33359
2012-04;34308
2012-05;34808
2012-06;37260
2012-07;36450
2012-08;25904
2012-09;33771
2012-10;35908
2012-11;37030
2012-12;34445
2013-01;35924
2013-02;35350
2013-03;32799
2013-04;39730
2013-05;36358
2013-06;35192
2013-07;39286
2013-08;24944
2013-09;40319
2013-10;39318
2013-11;40806
2013-12;34829
2014-01;35886
2014-02;38732
2014-03;39044
2014-04;39416
2014-05;31483
2014-06;39198
2014-07;28780
2014-08;30311
2014-09;29288
2014-10;31574
2014-11;28868
2014-12;27166
2015-01;27174
2015-02;26800
2015-03;31854
2015-04;30075
2015-05;23270
2015-06;23992
2015-07;13535
2015-08;32016
2015-09;32429
2015-10;29926
2015-11;29707
2015-12;21688
2016-01;24892
2016-02;25539
2016-03;30082
2016-04;31195
2016-05;31720
2016-06;31640
2016-07;24860
2016-08;38975
2016-09;37067
2016-10;34163
2016-11;40573
2016-12;31904
2017-01;32383
2017-02;36376
2017-03;38852
2017-04;33440
2017-05;32913
2017-06;22048
2017-07;31803
2017-08;34809
2017-09;27297
2017-10;30114
2017-11;28855
2017-12;23724
2018-01;25410
2018-02;27892
2018-03;31629
2018-04;29496
2018-05;29013
2018-06;18767
2018-07;35065
2018-08;31268
2018-09;29983
2018-10;36209
2018-11;32067
2018-12;26672
2019-01;25090
2019-02;23555
2019-03;28902
2019-04;29539
2019-05;29217
2019-06;18625
2019-07;29501
2019-08;29159
2019-09;31927
2019-10;31142
2019-11;29087
2019-12;27478
2020-01;24928
2020-02;23884
2020-03;17787
2020-04;8443
2020-05;6727
2020-06;11196
2020-07;11531
2020-08;11057
2020-09;12523
2020-10;13466
2020-11;17908
2020-12;23215
2021-01;15292
2021-02;12537
2021-03;26445
2021-04;25902
2021-05;21117
2021-06;20007
2021-07;21933
2021-08;28169
2021-09;26454
2021-10;28367
2021-11;30651
2021-12;33625
2022-01;22906
2022-02;21187
2022-03;30935
2022-04;26172
2022-05;17617
2022-06;27835
2022-07;26502
2022-08;29996
2022-09;31190
2022-10;30217
2022-11;27031
